id,title,titleKr,artist,tj,ky,series_id,type
c8340d99-4b71-4ce7-acb7-c8fbdcd883ae,絆ノ奇跡,,MAN WITH A MISSIONxmilet,68792,44932,,INSERT
6884e3aa-e672-4804-a398-6cb21f4c70f8,コイコガレ,,miletxMAN WITH A MISSION,68818,44950,,INSERT
4bfbfbcc-0a5d-4901-856d-d73a6838b4f7,夢幻,,MY FIRST STORY&HYDE,66064,75958,,INSERT
421118b5-c0be-4c45-8075-d78d1626ef6c,永久 -トコシエ,,MY FIRST STORY&HYDE,66207,XXX,,INSERT
fd292d18-4694-4859-aaee-acbf8703ab8d,青い栞,,Galileo Galilei,27545,43377,,INSERT
91b58d2a-5476-4344-be0b-fa0af6bd88a7,secret base ～君がくれたもの～,,ZONE,25206,41132,,INSERT
40bf853f-9c73-4021-bc38-487f765c2a3f,サークルゲーム,,Galileo Galilei,27567,XXX,,INSERT
e7559e31-b7e3-4bb6-9358-c00dfd1bc33d,夢の中へ,,이노우에 요우스이(井上陽水) ※,6537,40935,,INSERT
2a50e43b-42bc-48f3-8663-2933df883191,天使のゆびきり,,후쿠다 마이(福田舞),25371,XXX,,INSERT
d1e728db-2097-45c9-9e57-9bf2802d3061,야야야,,BK프로젝터,10730,85595,,INSERT
ccdb7461-6992-435f-83ce-9a9d0d5185a5,SURVIVE,,MindaRyn,68874,44985,,INSERT
9930644f-90f9-4a7f-bf94-31eb603fbbb3,地球儀,,"요네즈,                         켄시(米津玄師)",68840,44993,,INSERT
19799e0c-e6ef-4d0b-b501-ee7673840e06,In the moonlight,,BAD LUCK,26577,XXX,,INSERT
d06b0bb9-4682-4adc-8988-e885906e4d52,glaring dream,,코타니 킨야(コタニキンヤ),26186,XXX,,INSERT
15cb257f-4078-481d-a8d8-632635e69ba0,Shining Collection,,Iceman,26414,XXX,,INSERT
4761d6e7-6e18-42f8-9797-6c18c9a0bd20,그레이트마징가,,"별셋, 새마음 합창단",5369,XXX,,INSERT
4ee9fbfa-9693-44ea-af52-f4c0bf4249aa,楽園の翼,,쿠로사키 마온(黒崎真音),28512ⓗ,XXX,,INSERT
3321cfff-e632-441a-ae48-eb0643ac34e0,uni-verse,,오오이시 마사요시,68777,44916,,INSERT
30b2e80a-a985-4a6b-b541-cdaa9dc39416,열정의 시대,,HINT,31694,XXX,,INSERT
0c936f44-719c-4a96-9cfb-f76cc5f05c73,恋せよ女の子,,타무라 유카리(田村ゆかり),26025,42446,,INSERT
bafdf82a-2d16-4a4c-b3e9-03294c6deb00,Virtue and Vice,,"Fear, and Loathing in Las Vegas",27831,44003,,INSERT
930a452c-1294-4b59-b677-f9f4cd74db0c,キン肉マンGo Fight!,,쿠시다 아키라(串田アキラ),26598,42541ⓕ,,INSERT
67e47e0c-d9a6-44f0-85a5-d79571539c7f,ハッスルマッスル,,코노 요고(河野陽吾),25761,XXX,,INSERT
380b82b1-5dd7-4ed3-b07b-88e39aa71f7d,질풍가도,,유정석,1512462720[7],64835,,INSERT
6fcf3074-d5e0-4be7-8cb3-2fcdabb2fc18,열혈남아,,얀,30390,45549,,INSERT
c09cce59-7a64-426a-9819-623fc74cd8d2,雨と体液と匂い,,Mili,68332,44608,,INSERT
8f183075-2c4b-41a8-8d33-fdfeb32a6707,カサブタ,,치와타 히데노리(千綿ヒデノリ),25812,42162,,INSERT
56e92db2-db40-42b3-b55d-bbc72c71d773,チチをもげ!,,타카하시 히로키(高橋広樹),26007,42423,,INSERT
e3722386-1fb1-4493-a260-ac0fe02a4424,ベリーメロン ~私の心をつかんだ良いメロン~,,와카모토 노리오(若本規夫),28260ⓗ,42426,,INSERT
cfc53c89-fd4c-4cfb-a159-786c9567705b,PERSONAL,,우에토 아야(上戸彩),25851,42585ⓕ,,INSERT
da439a6a-b068-4439-a637-644a63688a1f,風をうけて,,우에토 아야(上戸彩),26014,XXX,,INSERT
e528c31c-cdee-4e2b-a3e6-1ffe2972fda5,君にこの声が届きますように,,타니모토 타카요시(谷本貴義),26624,42586ⓕ,,INSERT
b552c79d-2768-45b1-a603-d81a95f845ef,Crescendo,,Stella Quintet,26753,42791ⓗ,,INSERT
7dacf9c5-7b25-417e-b887-3b0941e7a28d,Brand New Breeze,,카논(カノン),26393,XXX,,INSERT
898f53d8-686b-4d04-acd7-ea1db62e4376,HAPPY TIME,,타니야마 키쇼 외(谷山紀章 外),26569,XXX,,INSERT
e619abd4-d07a-453a-8994-b328013d5867,기가 트라이브,,신용남,30375,XXX,,INSERT
88482732-4e78-459a-b687-638cd3780c8b,夢色チェイサー,,아유카와 마미(鮎川麻弥),28509ⓗ,XXX,,INSERT
96ba4066-85f3-4673-a2b2-9e739634f8f0,Anicca,,하라다 히토미(原田ひとみ),28600ⓗ,XXX,,INSERT
